course_id,sec_id,year,semester,instructor_id,building,room_number,time_slot_id
RELI 3401,2,2004,Spring,15993,Science and Technology,355,10:30
HUMS 2371,2,1989,summer i,15719,Brody,162,11:30
MLSC 4498,2,1973,Summer II,9264,Austin,180,11:30
CMGT 2787,1,1981,fall,3928,Science and Technology,144,19:00
GIFT 2891,1,1967,SUMMER I,6686,Science and Techonology,386,19:00
GERM 4810,1,1992,summer ii,5456,Bate,325,14:30
NCST 3030,3,1967,SPRING,6403,Health Sciences,206,15:30
IENG 4393,1,2007,summer,2284,Slay,275,17:30
FILM 2085,1,2011,spring,12731,Health Sciences,121,11:30
PHAR 1334,2,1960,summer ii,5071,Health Sciences,275,17:30
GERM 3503,1,1998,Summer II,14298,Speight,228,10:00
FINA 2690,1,1982,fall,6409,Brody,157,9:30
ISE 4167,3,1967,summer,14507,Rivers,378,8:30
DASC 3741,2,1974,Summer,10670,Slay,292,11:30
SPED 3884,1,2020,Summer,3297,Speight,320,11:30
ANAT 4240,2,1965,summer,14909,Health Sciences,147,18:00
GIFT 1952,2,2015,Fall,5441,Brody,333,15:30
BIME 3318,2,1961,summer,5324,Health Sciences,346,19:30
SCIE 3746,2,2008,Summer I,6089,Brody,343,14:00
IENG 3416,3,1973,Summer I,8008,Bate,259,15:30
PHIL 4180,2,2017,summer,6742,Brody,135,14:30
MATH 1927,1,1971,FALL,6646,Brody,113,16:00
RUSS 1097,1,2007,SUMMER,4328,Health Sciences,257,9:00
MULT 3770,3,2017,Fall,8704,Brody,113,10:30
ITAL 2543,1,1996,Fall,1183,Brody,238,16:00
MULT 2705,3,2020,SUMMER I,1370,Brody,222,14:00
EHST 4638,3,2012,SUMMER,1093,Flanagan,193,14:30
HIED 3868,2,1988,summer i,6972,Health Sciences,122,16:30
HDFS 2939,2,2006,Fall,13637,Brody,171,18:00
ETHN 4718,1,1997,SPRING,10552,Brody,111,15:00
OMGT 2965,3,2015,SUMMER,7713,Rawl,170,11:00
COAS 1145,3,2007,SPRING,8010,Brody,326,8:00
NCST 3468,1,2015,SUMMER,9044,Flanagan,285,10:30
LATN 4875,2,2002,Fall,5636,Brody,116,9:00
BUSI 2989,2,1998,Summer I,6354,Rivers,397,10:30
ACCT 2429,2,1959,summer i,12880,Brewster,106,11:30
LATN 3783,3,1961,Fall,10194,Brody,225,13:00
RCSC 2413,3,2015,spring,1400,Rivers,139,16:30
BIME 3667,1,1999,summer i,6367,Rivers,199,8:30
BIOC 3461,3,1974,Spring,11840,Rivers,350,10:00
ACCT 3319,3,2009,spring,3323,Science and Technology,222,13:00
GENS 3969,3,1966,Summer,15991,Brody,261,8:00
MULT 2617,3,2020,SUMMER,7030,Brody,262,12:30
ARTH 2051,2,2002,SUMMER,5421,Flanagan,366,16:30
SUTO 4740,2,1968,fall,4468,Science and Technology,160,10:30
HLTH 3285,2,2013,Summer,8602,Brody,100,16:30
SECS 3720,2,1980,spring,1335,Brody,235,13:00
WOST 4013,2,1964,summer i,5407,Slay,219,14:30
ICS 3050,1,2020,spring,5116,Brewster,201,10:00
SCIE 4666,1,2005,Summer II,9202,Rivers,297,
HLTH 2926,2,1965,Summer I,13247,Slay,242,18:00
PSYC 2352,3,2014,Summer II,4053,Brody,372,14:30
NURS 2791,3,2000,summer ii,8364,Health Sciences,336,9:00
RUSS 3739,3,1960,Summer II,5635,Rivers,341,10:00
TCHR 1778,1,1968,Summer II,10160,Graham,253,17:30
DASC 1285,2,1983,summer i,12065,Rivers,116,9:30
BIOL 2904,2,1977,SUMMER,10258,Rivers,213,
ONCO 1217,2,2001,SUMMER I,2139,Health Sciences,339,13:30
GERO 4665,1,2014,FALL,8793,Brody,399,15:30
PLAN 3472,3,1967,SUMMER I,13211,Slay,166,18:30
FORL 3828,3,1998,Summer II,10763,Health Sciences,204,9:30
BIOL 2022,1,1968,summer ii,9753,Brody,341,9:30
MCBI 1376,1,1994,SUMMER II,7556,Brody,379,9:00
SUTO 3720,1,1960,SPRING,7478,Graham,271,18:00
GRAD 4225,1,1982,summer,7424,Rivers,364,17:30
HMGT 1289,3,2020,Summer II,10486,Rawl,270,18:00
ICS 1821,1,2018,summer i,6080,Brody,118,13:30
RCTX 2206,2,2016,FALL,1669,Rivers,227,17:00
ANAT 4221,1,2009,summer,4538,Brody,125,9:00
TESL 3050,2,2005,Summer II,4991,Slay,381,8:30
FILM 4356,3,2006,Summer,9751,Speight,348,19:30
IPAM 3967,1,2000,Spring,7036,Science and Technology,166,16:00
HIMA 2562,3,1972,FALL,10074,Brody,343,19:30
DESN 1026,2,1973,SUMMER,12524,Brody,192,17:30
IPAM 3760,2,2013,Summer,13549,Speight,282,10:30
ACCT 4706,2,2015,summer,5497,Brody,298,18:30
IRHE 1559,3,1978,Summer I,11273,Graham,205,18:30
ENVE 2285,3,1973,Summer,9824,Brody,308,17:00
RELI 3599,1,1990,summer i,6047,Bate,346,10:30
ADRE 2072,1,1993,SUMMER I,4883,Brody,324,12:30
ENGL 1941,1,1986,SUMMER I,13318,Howell,118,8:30
SCIE 4116,3,1962,SUMMER,5471,Brody,300,14:00
MAST 4099,1,1971,SUMMER II,11539,Rivers,103,10:30
PHIL 2086,2,2005,summer i,6025,Brody,306,9:30
RCSC 2251,3,1966,summer,5416,Brody,350,19:30
COAS 3262,2,1972,SUMMER II,15004,Brody,167,13:30
MATE 1071,3,1991,summer i,1682,Brody,124,18:30
IPAM 4615,3,1981,Summer II,13522,Howell,344,19:30
FILM 4642,3,2013,Summer II,1353,Science and Technology,307,9:30
IPAM 4615,1,1964,Fall,4643,Brody,340,11:30
AERO 4396,3,1991,SUMMER,14266,Flanagan,209,16:00
JAPN 3240,3,2004,Spring,5473,Health Sciences,147,10:30
EENG 1077,1,2013,Summer I,11556,Bate,182,11:00
ONCO 2128,2,1995,spring,3544,Bate,241,8:00
PUBH 3931,1,1984,Summer II,2504,Brody,310,19:30
RONC 2465,3,2015,Summer I,9779,Speight,367,9:00
BIOL 4272,1,2010,spring,14332,Bate,258,8:00
PUBH 1512,3,1979,Summer I,11039,Rivers,318,10:00
ONCO 2225,3,2013,summer,8624,Science and Technology,101,12:30
RCSC 2865,3,1962,SUMMER,10835,Slay,276,8:30
MCBI 4309,2,1983,SUMMER,12221,Science and Technology,160,
IDSN 4345,1,1980,fall,6629,Speight,118,10:00
ANTH 3858,3,1987,summer,12426,Speight,327,15:00
PSYC 3225,3,2012,fall,12944,Science and Technology,174,18:00
CMGT 1864,3,1989,summer i,1747,Speight,366,8:30
THEA 4453,3,1977,Spring,2635,Slay,154,16:30
MRCH 2850,2,1979,Summer,10615,Brody,287,18:00
PATH 2398,2,1983,SUMMER II,6610,Slay,315,9:00
CLSC 2234,1,2002,spring,3062,Austin,191,16:30
PHAR 2672,2,2012,SUMMER,15387,Science and Technology,286,11:30
IENG 2610,1,1986,Summer II,9883,Bate,159,18:00
SOCI 3963,2,1983,fall,14034,Science and Techonology,305,19:00
UNIV 1995,3,1998,SPRING,12522,Bate,291,17:30
IDIS 1247,1,1979,SUMMER II,14662,Health Sciences,327,14:30
GERM 4590,1,1979,Fall,13353,Rivers,140,18:00
HPRO 3532,2,1983,Fall,13092,Bate,289,13:30
NEUR 2549,1,1976,fall,6373,Health Sciences,395,16:30
FILM 4778,2,1970,summer i,2258,Brewster,189,19:00
RCTX 1524,3,1983,SUMMER II,8760,Speight,254,17:00
MRCH 2640,2,2008,Spring,14482,Brody,107,14:30
